Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers
49ers,6,10,0,0.375,376,1889,4033,5922,31
Bears,8,8,0,0.5,372,1647,3655,5302,22
Bengals,4,11,1,0.25,311,1668,3448,5116,24
Bills,13,3,0,0.8125,501,1723,4620,6343,22
Broncos,5,11,0,0.3125,323,1918,3451,5369,32
Browns,11,5,0,0.6875,408,2374,3539,5913,16
Buccaneers,11,5,0,0.6875,492,1519,4626,6145,17
Cardinals,8,8,0,0.5,410,2237,3916,6153,21
Chargers,7,9,0,0.4375,384,1784,4329,6113,16
Chiefs,14,2,0,0.875,473,1799,4854,6653,16
Colts,11,5,0,0.6875,451,1996,4053,6049,15
Cowboys,6,10,0,0.375,395,1788,4161,5949,26
Dolphins,10,6,0,0.625,404,1688,3736,5424,20
Eagles,4,11,1,0.25,334,2027,3327,5354,29
Falcons,4,12,0,0.25,396,1532,4363,5895,18
Giants,6,10,0,0.375,280,1768,3026,4794,22
Jaguars,1,15,0,0.0625,306,1519,3699,5218,25
Jets,2,14,0,0.125,243,1683,2796,4479,19
Lions,5,11,0,0.3125,377,1499,4104,5603,21
Packers,13,3,0,0.8125,509,2118,4106,6224,11
Panthers,5,11,0,0.3125,350,1704,3888,5592,21
Patriots,7,9,0,0.4375,326,2346,2890,5236,19
Raiders,8,8,0,0.5,434,1916,4217,6133,26
Rams,10,6,0,0.625,372,2018,4014,6032,25
Ravens,11,5,0,0.6875,468,3071,2739,5810,18
Saints,12,4,0,0.75,482,2265,3758,6023,17
Seahawks,12,4,0,0.75,459,1971,3941,5912,18
Steelers,12,4,0,0.75,416,1351,4003,5354,18
Texans,4,12,0,0.25,384,1466,4538,6004,18
Titans,11,5,0,0.6875,491,2690,3653,6343,12
Vikings,7,9,0,0.4375,430,2283,4009,6292,23
Washington,7,9,0,0.4375,335,1611,3465,5076,27
