Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers
49ers,5,11,0,0.3125,238,1544,3316,4860,17
Bears,6,10,0,0.375,335,1851,3663,5514,21
Bengals,12,4,0,0.75,419,1805,3923,5728,17
Bills,8,8,0,0.5,379,2432,3343,5775,19
Broncos,12,4,0,0.75,355,1718,3970,5688,31
Browns,3,13,0,0.1875,278,1529,3782,5311,30
Buccaneers,6,10,0,0.375,342,2162,3852,6014,28
Cardinals,13,3,0,0.8125,489,1917,4616,6533,24
Chargers,4,12,0,0.25,320,1358,4591,5949,24
Chiefs,11,5,0,0.6875,405,2044,3255,5299,15
Colts,8,8,0,0.5,333,1438,3704,5142,30
Cowboys,4,12,0,0.25,275,1890,3471,5361,33
Dolphins,6,10,0,0.375,310,1496,3811,5307,19
Eagles,7,9,0,0.4375,377,1743,4087,5830,31
Falcons,8,8,0,0.5,339,1611,4379,5990,30
Giants,6,10,0,0.375,420,1609,4343,5952,21
Jaguars,5,11,0,0.3125,376,1473,4108,5581,28
Jets,10,6,0,0.625,387,1868,4057,5925,24
Lions,7,9,0,0.4375,358,1335,4212,5547,24
Packers,10,6,0,0.625,368,1850,3503,5353,17
Panthers,15,1,0,0.9375,500,2282,3589,5871,19
Patriots,12,4,0,0.75,465,1404,4587,5991,14
Raiders,7,9,0,0.4375,359,1457,3879,5336,24
Rams,7,9,0,0.4375,280,1956,2805,4761,21
Ravens,5,11,0,0.3125,328,1478,4271,5749,28
Saints,7,9,0,0.4375,408,1491,4970,6461,20
Seahawks,10,6,0,0.625,423,2268,3790,6058,16
Steelers,10,6,0,0.625,423,1724,4603,6327,28
Texans,9,7,0,0.5625,339,1731,3833,5564,20
Titans,3,13,0,0.1875,299,1485,3503,4988,33
Vikings,11,5,0,0.6875,365,2211,2928,5139,17
Washington,9,7,0,0.5625,388,1566,4095,5661,22
