Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers
49ers,10,7,0,0.588235294117647,427,2166,4221,6387,24
Bears,6,11,0,0.352941176470588,311,2018,3207,5225,29
Bengals,10,7,0,0.588235294117647,460,1742,4403,6145,21
Bills,11,6,0,0.647058823529412,483,2209,4284,6493,22
Broncos,7,10,0,0.411764705882353,335,2025,3593,5618,18
Browns,8,9,0,0.470588235294118,349,2471,3320,5791,22
Buccaneers,13,4,0,0.764705882352941,511,1672,5229,6901,19
Cardinals,11,6,0,0.647058823529412,449,2076,4276,6352,15
Chargers,9,8,0,0.529411764705882,474,1834,4800,6634,22
Chiefs,12,5,0,0.705882352941177,480,1955,4791,6746,25
Colts,9,8,0,0.529411764705882,451,2540,3361,5901,19
Cowboys,12,5,0,0.705882352941177,530,2119,4800,6919,20
Dolphins,9,8,0,0.529411764705882,341,1568,3651,5219,26
Eagles,9,8,0,0.529411764705882,444,2715,3404,6119,16
Falcons,7,10,0,0.411764705882353,313,1451,3713,5164,26
Giants,4,13,0,0.235294117647059,258,1688,3196,4884,30
Jaguars,3,14,0,0.176470588235294,253,1755,3436,5191,29
Jets,4,13,0,0.235294117647059,310,1667,3541,5208,27
Lions,3,13,1,0.176470588235294,325,1886,3598,5484,23
Packers,13,4,0,0.764705882352941,450,1900,4315,6215,13
Panthers,5,12,0,0.294117647058824,304,1842,3239,5081,29
Patriots,10,7,0,0.588235294117647,462,2151,3857,6008,23
Raiders,10,7,0,0.588235294117647,374,1617,4567,6184,24
Rams,12,5,0,0.705882352941177,460,1683,4642,6325,23
Ravens,8,9,0,0.470588235294118,387,2479,3961,6440,26
Saints,9,8,0,0.529411764705882,364,1991,3186,5177,18
Seahawks,7,10,0,0.411764705882353,395,2074,3432,5506,13
Steelers,9,7,1,0.529411764705882,343,1583,3778,5361,20
Texans,4,13,0,0.235294117647059,280,1422,3305,4727,22
Titans,12,5,0,0.705882352941177,419,2404,3418,5822,25
Vikings,8,9,0,0.470588235294118,425,1930,4238,6168,13
Washington,7,10,0,0.411764705882353,335,2061,3441,5502,24
