Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers
49ers,8,8,0,0.5,330,1600,3052,4652,24
Bears,7,9,0,0.4375,327,1492,3473,4965,34
Bengals,10,6,0,0.625,305,2056,2890,4946,25
Bills,6,10,0,0.375,258,1867,2515,4382,30
Broncos,8,8,0,0.5,326,1836,3627,5463,23
Browns,5,11,0,0.3125,245,2087,2076,4163,31
Buccaneers,3,13,0,0.1875,244,1625,2975,4600,34
Cardinals,10,6,0,0.625,375,1494,4016,5510,36
Chargers,13,3,0,0.8125,454,1423,4338,5761,17
Chiefs,4,12,0,0.25,294,1910,2922,4832,27
Colts,14,2,0,0.875,416,1294,4515,5809,24
Cowboys,11,5,0,0.6875,361,2103,4287,6390,19
Dolphins,7,9,0,0.4375,360,2231,3170,5401,29
Eagles,11,5,0,0.6875,429,1637,4089,5726,23
Falcons,9,7,0,0.5625,363,1876,3571,5447,25
Giants,8,8,0,0.5,402,1837,4019,5856,31
Jaguars,7,9,0,0.4375,290,2029,3356,5385,23
Jets,9,7,0,0.5625,348,2756,2380,5136,30
Lions,2,14,0,0.125,262,1616,3168,4784,41
Packers,11,5,0,0.6875,461,1885,4180,6065,16
Panthers,8,8,0,0.5,315,2498,2799,5297,31
Patriots,10,6,0,0.625,427,1921,4436,6357,22
Raiders,5,11,0,0.3125,197,1701,2557,4258,33
Rams,1,15,0,0.0625,175,1784,2686,4470,33
Ravens,9,7,0,0.5625,391,2200,3419,5619,22
Saints,13,3,0,0.8125,510,2106,4355,6461,28
Seahawks,5,11,0,0.3125,280,1566,3503,5069,31
Steelers,9,7,0,0.5625,368,1793,4148,5941,25
Texans,9,7,0,0.5625,388,1475,4654,6129,28
Titans,8,8,0,0.5,354,2592,3031,5623,31
Vikings,12,4,0,0.75,470,1918,4156,6074,18
Washington,4,12,0,0.25,266,1508,3490,4998,28
